price,año_lanzamiento,developer,item_id
19.99,2010,Frictional Games,57300
19.99,2010,EasyGameStation,70400
3.99,2010,Dedication Games,46600
2.99,2010,SEGA,34314
2.99,2010,SEGA,34310
4.99,2010,exosyphen studios,70100
4.99,2010,exosyphen studios,70110
9.99,2010,Subsoap,38600
14.99,2010,Gaming Minds Studios,57620
2.99,2010,SEGA,34284
14.99,2010,Katauri Interactive,63910
4.99,2010,Dovetail Games,24082
29.99,2010,"Firaxis Games,Aspyr (Mac, Linux)",8930
4.99,2010,Nitro Games,49310
9.99,2002,Croteam,41060
9.99,2010,Blind Mind Studios,70900
2.99,2010,Krome Studios,9940
9.99,2010,Team17 Digital Ltd,22650
0.0,2010,Croteam,901553
19.99,2010,Vigil Games,50620
4.99,1999,Egosoft,2840
9.99,2010,NeoCoreGames,42920
19.99,2007,ArenaNet®,29700
4.99,2000,Egosoft,2850
9.99,0,Triumph Studios,61510
7.99,2010,I Sioux Game Productions B.V.,70200
14.99,2010,I Sioux Game Productions B.V.,70210
9.99,0,Triumph Studios,61520
5.99,0,Triumph Studios,61500
19.99,2010,Electronic Arts,47790
9.99,2010,"Headup Games,Silent Dreams",46450
19.99,2010,"CAPCOM CO., LTD.",45750
4.99,2010,Stickmen Studios,57800
9.99,2010,Obsidian Entertainment,22380
6.99,2010,Dmytry Lavrov,67000
4.99,2010,Ivy Games,80300
9.99,2010,Noumenon Games,50000
4.99,2010,"Firaxis Games,Aspyr (Mac, Linux)",16868
14.99,2010,Hothead Games,18040
2.99,2010,SEGA,71115
2.99,2010,SEGA,34317
2.99,2010,SEGA,71114
2.99,2010,SEGA,71112
4.99,2010,SEGA,71113
2.99,2010,SEGA,34319
2.99,2010,SEGA,34316
2.99,2010,SEGA,34315
9.99,2010,Klei Entertainment,6120
9.99,2010,Teotl Studios,35460
19.99,2010,Aspyr Studios,32500
4.99,2010,Firemint,62000
4.99,2010,Ascaron Entertainment ltd.,33570
9.99,2010,Gaijin Games,63700
1.99,2010,1C Company,46362
4.99,2010,Nitro Games,49320
4.99,2010,Tomkorp Computer Solutions Inc.,72400
1.99,2010,Paradox Interactive,42964
3.99,2010,Double Helix Games,43011
9.99,2010,Centauri Production,33980
6.99,2009,Centauri Production,65710
12.99,2010,Centauri Production,33990
4.99,2007,Altar Games,33950
9.99,2010,React Games,65400
39.99,2010,Treyarch,42700
0.99,2010,Sonic Boom Games,38923
4.99,2010,Joshyy,72500
4.99,2010,Oddworld Inhabitants,15740
1.99,2010,Sonic Boom Games,38924
9.99,2010,Oddworld Inhabitants,15750
4.99,2010,"Ntreev Soft Co., Ltd.",45500
19.99,2010,Telltale Games,31290
9.99,2002,Rockstar Games,12100
14.99,2005,Rockstar Games,12120
3.49,2011,Crystal Dynamics Inc.,35135
3.49,2011,Crystal Dynamics Inc.,35137
3.49,2011,Crystal Dynamics,35138
3.49,2011,Crystal Dynamics Inc.,35136
9.99,2003,Rockstar Games,12110
9.99,2011,Brightside Games,33390
4.99,2011,Extend Studio,92300
14.99,2011,BlueGiant Interactive,80000
19.99,2011,Visceral Games,47780
9.99,2011,Big Fish Studios,51060
4.99,2011,Cateia Games,65080
4.99,2011,Uber Entertainment,63200
9.99,2011,MumboJumbo,60340
2.99,2011,SEGA,71116
2.99,2011,SEGA,71161
2.99,2011,SEGA,71119
2.99,2011,SEGA,71118
2.99,2011,SEGA,71117
4.99,2011,SEGA,71166
2.99,2011,SEGA,71165
4.99,2011,SEGA,71163
2.99,2011,SEGA,71164
2.99,2011,SEGA,71160
2.99,2011,SEGA,71120
19.99,2009,The Sims Studio,47890
3.99,2011,VStep,48802
19.99,2010,The Sims Studio,47896
19.99,2009,The Sims Studio,47892
19.99,2010,The Sims Studio,47894
19.99,2010,The Sims Studio,47893
19.99,2010,The Sims Studio,47895
4.99,2011,Trinoteam,42000
14.99,2011,Virtual Prophecy Entertainment,47570
19.99,2011,The Sims Studio,47897
5.99,2011,Mediatonic,57700
5.99,2011,Cyan Worlds,63660
2.99,2011,Petroglyph,90504
19.99,2011,Reality Pump Studios,7520
0.0,2011,Jellyvision,99200
19.99,0,Eden Studios,9930
3.99,2011,NeoCoreGames,24449
6.99,2011,Positech Games,41814
3.99,2011,NeoCoreGames,42925
9.99,2011,Realmforge Studios,57650
4.99,2011,"Arcen Games, LLC",40407
19.99,2011,DTP,33770
9.99,2011,Stainless Games,47800
4.99,2011,Fakt Software,18408
9.99,2011,Gaijin Games,63710
19.99,2011,"Kaos Studios,Digital Extremes",55100
9.99,2011,Red Redemption,80200
2.99,2011,Copenhagen Game Collective,92400
0.99,2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",56435
2.99,2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",56433
0.99,2011,"Relic Entertainment,Feral interactive (Mac/Linux)",56432
0.99,2011,"Relic Entertainment,Feral interactive (Mac/Linux)",56431
0.0,2013,Trion Worlds,39120
29.99,2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",56437
3.99,2011,Stout Games,94000
2.99,2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",56434
9.99,2011,Black Lion Studios,92700
3.99,2011,Colossal Order Ltd.,73012
3.99,2011,VStep,48803
6.99,2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",56536
3.99,2011,SimBin,44620
9.99,2011,11 bit studios,91200
14.99,2010,Ntronium Games,46790
9.99,2011,Martin Ivanov,73170
3.99,2011,Realmforge Studios,57655
9.99,2011,800 North and Digital Ranch,70000
9.99,2011,Gaming Minds Studios,57730
19.99,2011,Valve,620
4.99,2011,Arrowhead Game Studios,42918
9.99,2011,Coffee Stain Studios,91600
19.99,2011,1C:InoCo,73020
2.99,2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",56482
9.99,2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",56438
2.99,2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",56481
24.99,2011,Mode 7,98200
2.99,2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",56480
4.99,2011,inner seas,72905
4.99,2011,inXile Entertainment,22450
9.99,2011,Fatshark,42140
19.99,2011,The Sims Studio,47898
5.99,2011,Colossal Order Ltd.,73181
0.99,2011,Arrowhead Game Studios,73031
1.99,2011,Behaviour,9992
7.99,2009,Microids,46490
7.99,2005,Microids,46480
14.99,2011,Treyarch,42718
14.99,2011,Obsidian Entertainment,39160
19.99,2011,Gearbox Software,57900
0.0,2011,Red Duck Inc.,102700
0.0,2009,Cryptic Studios,9880
0.0,2011,Grey Havens,99900
9.99,2011,"Apus Software,Three Donkeys LLC",22520
3.99,2011,Colossal Order Ltd.,73014
9.99,2011,Reality Pump Studios,7530
0.0,2011,Peter Brinson and Kurosh ValaNejad,95700
19.99,2011,Stainless Games Ltd,49470
9.99,2011,Bacon Wrapped Games,91810
4.99,2011,Cold Beam Games,49604
5.99,2011,Mode 7,98210
9.99,2011,Murudai,97000
9.99,2011,Totem Games,46760
9.99,2011,Totem games,46830
2.99,2011,Arrowhead Game Studios,73035
9.99,2011,Totem Games,46840
19.99,2011,Day 1 Studios,21100
1.99,2011,Arrowhead Game Studios,73037
1.99,2011,Arrowhead Game Studios,73036
19.99,2011,N3V Games,24635
1.99,2011,Arrowhead Game Studios,901679
1.99,2011,Paradox Interactive,25810
14.99,2011,Bedlam Games,99100
3.99,2011,SimBin,44660
6.99,2011,Giants Software,90209
1.99,2011,Paradox Interactive,25809
4.99,2011,Paradox Development Studio,42903
4.99,2011,Team17 Digital Ltd,22631
4.99,2011,Team17 Digital Ltd,22634
4.99,2011,Team17 Digital Ltd,22633
2.99,2011,Realmforge Studios,57656
4.99,2011,Team17 Digital Ltd,22632
9.99,2011,Telltale Games,94590
7.99,2011,Tripwire Interactive,35425
3.99,2011,Ageod,73192
0.99,2011,Secret Base,105700
4.99,2011,Obsidian Entertainment,72750
6.99,2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",56538
0.0,2011,1C: Maddox Games,63950
4.99,2011,YeaBoing,61100
8.99,2011,Dovetail Games,65228
0.99,2011,"Kaos Studios,Digital Extremes",55205
9.99,2011,Mystic Box,102200
1.99,2011,Digitalmindsoft,64013
1.99,2011,"Dejobaan Games, LLC",15522
0.99,2011,Lunar Giant,63802
0.99,2011,Extend Studio,92302
2.99,2011,Colossal Order Ltd.,73183
6.99,2010,HeR Interactive,42210
4.99,2011,Bohemia Interactive,65790
1.99,2011,Zachtronics,92803
14.99,2011,Haemimont Games,57690
6.99,2011,HeR Interactive,42220
6.99,2010,HeR Interactive,42230
6.99,2011,Total Eclipse,111000
3.99,2011,Ageod,73193
6.99,2011,Two Tribes,38740
4.99,2011,"Firaxis Games,Aspyr (Mac, Linux)",99612
4.99,2011,"Firaxis Games,Aspyr (Mac, Linux)",99614
9.99,2011,Coffee Stain Studios,91604
4.99,2011,exosyphen studios,70120
9.99,2011,MinMax Games Ltd.,107200
3.99,2011,TimeGate Studios,97108
2.99,2011,TimeGate Studios,97106
3.99,2011,TimeGate Studios,97107
6.99,2011,"Relic Entertainment,Feral Interactive (Mac/Linux)",56487
4.99,2011,Obsidian Entertainment,72760
0.0,2011,Three Rings,99910
14.99,2011,Hothead Games,18070
29.99,2011,Relic,55150
7.99,2011,1C Company,63940
14.99,2012,Flying Wild Hog,98400
3.99,2011,Ageod,73194
9.99,2011,"Octane Games,Meridian4",46520
9.99,2011,ACE Team,22230
19.99,2011,Tripwire Interactive,35450
9.99,2011,Ubisoft,33420
5.99,2011,Colossal Order Ltd.,73185
4.99,2011,Stainless Games Ltd,49473
9.99,2011,Paradox Development Studio,73210
4.99,2011,PomPom,110600
6.99,2010,HeR Interactive,200080
9.99,2011,Reality Pump Studios,200440
4.99,2011,NGD Studios,111400
9.99,2011,Gearbox Software,57923
19.99,2011,Blackhole,48220
14.99,2011,Gas Powered Games,9420
4.99,2011,Edmund McMillen and Florian Himsl,113200
6.99,2011,Giants Software,90208
4.99,2011,1C-Avalon,200230
14.99,2007,Gas Powered Games,9350
18.99,2011,Red Redemption,901776
1.99,2011,Steel Monkeys,201100
2.99,2011,Red Redemption,80202
4.99,2011,Red Redemption,80204
1.99,2011,City Interactive,34842
5.99,2011,"Games Farm,3Division",95900
3.99,2011,Red Redemption,80207
19.99,2011,Capcom Vancouver,45770
1.99,2011,Hothead Games,18080
14.99,2011,"Akella,.dat",200670
0.0,2011,Days of Wonder,108210
8.99,2011,Dovetail Games,65231
9.99,2011,Double Fine Productions,115100
